12.08.2013                                                                                                                                                                                                                                                                                                                                                                                               Dynamický výstup seznamu                                                                                                                                                                                                                                                                                                                                                                                                      1;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Tabelle KNB1 - Kmen.soub.zákaz.(úè.okruh);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Klient;SAP è.;Název;Ulice;Mìsto;PSÈ;Fax;Internet;Odl.úè.pl.;PlatPodDob;Èinnost;Rozdìlení;KlíèOpráv;StPotvÚèOk;Dat.potvr.;ÈasPotvr;Bl.výmazu;Telefon;Znak cese;StZdDanì;Exekuce
;100;572090;Kern-Liebers Textil SRL;Drumul Fermei nr.125;Popesti-Leordeni;77160;213069410;dieter.spaeth@kern-liebers.com;;;;;;;;0:00:00;;;;;
;100;575003;Kern-Liebers Texas Inc.;400 East Nolana Loop;Pharr;78577;;ctrares@kl-usa.com;;;;;;;;0:00:00;;;;;
;100;575013;Kern-Liebers Pieron, Inc.;24505 Indoplex Drive;Farmington Hills MI;48335;;ctrares@kl-usa.com;;;;;;;;0:00:00;;;;;
;100;572093;Kern-Liebers Carpatia S.C.S.;Str. Bradului 9;Sancraiu de Mures;547525;265208920;eniko.simon@kern-liebers.com;;;;;;;;0:00:00;;265208-914;;;
;100;573001;Kern-Liebers (Taicang) Co. Ltd.;88 Nanjing Road;Taicang (People's Republic of China;215400;;david.cao@kern-liebers.com.cn;;;;;;;;0:00:00;;;;;
;100;575023;QSM Inc.;1510 Albon Road;Holland;43528;;;;;;;;;;0:00:00;;;;;
;100;306082;OOO Bosch Power Tools;Fr. Engels Prospekt 139;Engels;413105;78453796190;;;;;;;;;0:00:00;;;;;
;100;312500;TAURIL Rubber;Újhegyi út 25-31;Budapest;1108;;revesz@tauril.hu;;;;;;;;0:00:00;;;;;
;100;308237;Robert Bosch GmbH;Werk Nürnberg;Magdeburg;39006;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;304359;Bürener Maschinenfabrik GmbH;Fürstenberger Straße 37;Büren;33142;;;;;;;;;;0:00:00;;;;;
;100;304375;RoFlexs GmbH;Pretzierer Dorfstraße 22;Salzwedel;29410;;;;;;;;;;0:00:00;;;;;
;100;304811;ENVISAN - GEM, a.s.;Dolni 2;Ceske Budejovice;370 04;;;;;;;;;;0:00:00;;;;;
;100;304812;BUZULUK a.s.;Buzulucka 108;Komarov u Horovic;267 62;;;;;;;;;;0:00:00;;;;;
;100;305418;TRANSFORWARDING a.s.;K. Uhlire 42;Ceske Budejovice;370 06;;;;;;;;;;0:00:00;;;;;
;100;305420;Valeo Compressor Europe s.r.o.;Central Trade Park D1 1571;Humpolec;396 01;;petra.simanova@valeo.com;;;;;;;;0:00:00;;;;;
;100;305459;PCO-hlidaci sluzba, s. r. o.;Vrbenská 197/23;Ceske Budejovice;370 01;;financni@pco.cz;;;;;;;;0:00:00;;;;;
;100;309946;Preind sa.;Ctra. Vendrell a St. Jaume, km1;Sta. Oliva - Tarragona;43710;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;304474;Flexi-Bogdahn Technik GmbH & Co. KG;Carl-Benz Weg 13;Bargteheide;22941;;;;;;;;;;0:00:00;;;;;
;100;305496;JihoTech spol. s.r.o.;Zahradni 441;Borovany;373 12;;;;;;;;;;0:00:00;;;;;
;100;303310;Vavra Josef,  s.r.o.;Nemanicka 2208/16;Ceske Budejovice;370 10;;;;;;;;;;0:00:00;;;;;
;100;304537;Newenta AG;Gublenstrasse 1;Eschenbach;8733;;;;;;;;;;0:00:00;;;;;
;100;303514;Unternehmensgruppe C.D. Waelzholz;Feldmuehlenstr. 55;Hagen;58093;;;;;;;;;;0:00:00;;;;;
;100;304550;Shanghai China-Industrial;19 Wuning Road;Shanghai;200042;;;;;;;;;;0:00:00;;;;;
;100;304551;Shanghai China Industrial Import;Rm 1801, The Regent Asia;Shanghai;200042;;;;;;;;;;0:00:00;;;;;
;100;304574;Engel strojirenska s.r.o.;Pohorska 181;Kaplice;382 41;;;;;;;;;;0:00:00;;;;;
;100;571004;Schwarzwälder Drahtfedern GmbH;Dr.-Kurt-Steim-Str. 35;Schramberg;78713;;;;;;;;;;0:00:00;;;;;
;100;303361;Autoliv (Shanghai) Vehicle;1000 BeiHe Road;Shanghai;201807;;;;;;;;;;0:00:00;;;;;
;100;303415;Protec GmbH;Neulandstr. 21;Sinsheim;74889;7261405128;melanie.zuhnemer@reumprotec.de;;;;;;;;0:00:00;;07261405-163;;;
;100;303450;Mesto Velesin;nam. J.V.Kamaryna 76;Velesin;382 32;;;;;;;;;;0:00:00;;;;;
;100;305016;KUHN-MT s.r.o.;Nemanicka 16;Ceske Budejovice;370 10;;;;;;;;;;0:00:00;;;;;
;100;303948;ROBERT BOSCH SISTEMAS;Robert Bosch 405;Toluca;50071;;Sergio.Huitron@mx.bosch.com;;;;;;;;0:00:00;;;;;
;100;305030;Joewe Laserbearbeitung GmbH;Brambach 18;Schramberg-Sulgen;78713;;;;;;;;;;0:00:00;;;;;
;100;305732;Jan Marek;Tr. Legii 507;Kralupy nad Vltavou;278 01;;;;;;;;;;0:00:00;;;;;
;100;305640;BOS;5968 Commerce Boulevard;Morristown;37814;235858410;cgibson@bos.de;;;;;;;;0:00:00;;423318-7509;;;
;100;108099;M.M. Suspension Systems Bielsko;Ul. Grazynskiego Plant 33 - Sta 141;Bielsko Biala;43-300;;dagmara.osierda@fiatservices.com;;;;;;;;0:00:00;;;;;
;100;305601;Shanghai Automobile;Rm. C01, No. 2119;Shanghai (Pudong District);200135;;xiangyuh@saco.saic.com.cn;;;;;;;;0:00:00;;;;;
;100;571060;Carl Haas GmbH;Dr. Konstantin-Hank-Str. 18;Schramberg;78713;74225117527;maurer.ehrentraud@carl-haas.de;;;;;;;;0:00:00;;07422 511-527;;;
;100;108034;MAGNETI MARELLI COFAP CIA.;RUA MANOEL DA NOBREGA 250;MAUA;09371-520;1121442088;flavio.fernandes@magnetimarelli.com;;;;;;;;0:00:00;;112144-2104;;;
;100;108061;MAGNETI MARELLI COFAP CIA.;RUA MANOEL DA NOBREGA 250;MAUA;09371-520;1121442088;thais.souza@magnetimarelli.com;;;;;;;;0:00:00;;112144-2104;;;
;100;108074;MAGNETI MARELLI NORTH AMERICA;10388 10388 AIRPORT PARKWAY;KINGSPORT-TN;37663;;;;;;;;;;0:00:00;;;;;
;100;305670;Valeo Compressor Europe s.r.o.;Central Trade Park H3 1571;Humpolec;396 01;;;;;;;;;;0:00:00;;;;;
;100;575077;Kern-Liebers Services SA de CV;Circuito El Marques Norte No 23-B;El Marqués;76246;;;;;;;;;;0:00:00;;;;;
;100;108032;REIGER SUSPENSION B.V.;MOLENENK 5A; HENGELO GLD.;7255 AX;;info@reigersuspension.com;;;;;;;;0:00:00;;05757/462077;;;
;100;306225;Band- und Feinstahl Service;Bachstraße 6;Schwerte;58239;;;;;;;;;;0:00:00;;;;;
;100;8818;Bosch Diesel spol. s r.o.;Pávov 121;Jihlava;586 06;567583330;;;;;;;;;0:00:00;;56758-3340;;;
;100;304455;BOS Automotive Products;Calea Bodrogului,FN;Arad;310059;57307224;dsandru@bos.de;;;;;;;;0:00:00;;057307-204;;;
;100;108069;Delphi Poland S.A.;UL. GEN.L.OKULICKIEGO 7;KROSNO;38-400;134371106;roman.gornicki@delphi.com;;;;;;;;0:00:00;;;;;
;100;309614;Webasto Edscha Cabrio;Scharwächterstraße 5;Hengersberg;94491;;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;309464;EMERSON;K Vapence 1633/14;Mikulov na Morave;692 01;;;;;;;;;;0:00:00;;;;;
;100;309613;Valeo Climate Control de Mexico SA;Carr. México-Piedras Negras Km 3900;San Luis Potosi, S.L.P.;78395;;dinora.ochoa@valeo.com;;;;;;;;0:00:00;;;;;
;100;309166;Sandvik Materials Technology GmbH;Heerdter Landstr. 243;Düsseldorf;40549;;;;;;;;;;0:00:00;;;;;
;100;5510215;MTD Products AG;Industriestr.             23;Saarbrücken;66129;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;310687;Hitachi Automotive Systems Czech, s;Minice 60;Velemysleves, Prumyslova zona;438 01;;;;;;;;;;0:00:00;;;;;
;100;308628;JIHOSTROJ a.s.;Budejovicka 148;Velesin;382 32;;;;;;;;;;0:00:00;;;;;
;100;50391;ANDREAS STIHL AG & CO. KG;Stuttgarter Strasse 80;Waiblingen;71332;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;307673;Scintilla AG;0;solothurn;4501;;;;;;;;;;0:00:00;;;;;
;100;8999;Scintilla;Luterbachstrasse 10;Solothurn;4501;326863766;;;;;;;;;0:00:00;;;;;
;100;309093;ATHOS ELEKTRIK SISTEMLERI;113 ada 5.Parsel;Velimese-Corlu;59860;;;;;;;;;;0:00:00;;;;;
;100;307960;POMELAC Sp. z o.o.;Kasztanowa 1;Wyszkow;07-200;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;700044;Robert Bosch GmbH;Postfach 16 49;Magedburg;39006;3691641949;Jutta.Buckisch@de.bosch.com;;;;;;;;0:00:00;;;;;
;100;309135;FERPLAST SpA;Via 1° Maggio 5, - Z.I.;Castelgomberto;36070;;;;;;;;;;0:00:00;;;;;
;100;55573;TRW Polska sp. z o.o.;ul. Rolnicza 33;Czestochowa;42-200;343693157;malgorzata.pikor@trw.com;;;;;;;;0:00:00;;343/693-652;;;
;100;309254;Continental Automotive;58 Dongnan Road, CSEDZ,;Jiangsu Province - Changshu;215500;;Ting.2.Shen@continental-corporation.com;;;;;;;;0:00:00;;;;;
;100;309132;ARB-Moravan;ul.Vokzalnaja 44 a/ja 4805;Samarska Oblast;445043;;;;;;;;;;0:00:00;;;;;
;100;308842;ProdEq Trading GmbH;Reckholder 1;Niederhelfenschwil;9527;;;;;;;;;;0:00:00;;;;;
;100;309256;P-FACTOR Srl;v. Lombardia 1-B;Monastier di Treviso;31050;;;;;;;;;;0:00:00;;;;;
;100;308503;Daikin Device Czech Republic s.r.o.;Svedske valy 1227/2;Brno - Cernovice;627 00;;;;;;;;;;0:00:00;;;;;
;100;307984;Retezarna Ceska Trebova s.r.o.;Matyasova 2095;Ceska Trebova;560 02;;;;;;;;;;0:00:00;;;;;
;100;308479;BWI Automotive Technologies Pvt Ltd;Plot No. 3, Sector 41;G.Noida UP;203207;;;;;;;;;;0:00:00;;;;;
;100;571007;Bohnert GmbH;Weilerstr. 33;Hardt;78739;74225117184;dominik.haas@kern-liebers.de;;;;;;;;0:00:00;;07422-511-184;;;
;100;571010;Kern-Liebers International GmbH;Dr.-Kurt-Steim-Str.  35;Schramberg;78713;;;;;;;;;;0:00:00;;;;;
;100;303530;MANENTIMACCHINE s.r.l.;VIALE ITALIA 115/a;GUSSAGO (BRESCIA);25064;;;;;;;;;;0:00:00;;;;;
;100;303555;Kiekert de Mexico S. A. de C. V.;Autopista Puebla-Orizaba KM 14.5;Chachapa Amozoc Puebla;72990;;Lorena.Paredes@kiekert.com;;;;;;;;0:00:00;;;;;
;100;571011;Dr. Kurt Steim GmbH & Co.;Dr.-Kurt-Steim-Str. 35;Schramberg;78713;;;;;;;;;;0:00:00;;;;;
;100;309961;Wienerberger eurostroj, s.r.o.;Placheho 388/28;Ceske Budejovice;370 46;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;304015;GBM-Kunststofftechnik & Formenbau;Moosstrasse 14;Mattighofen;5230;;;;;;;;;;0:00:00;;;;;
;100;571012;Feinmechanische Erzeugnisse GmbH;Dr.-Kurt-Steim-Str. 35;Schramberg;78713;;;;;;;;;;0:00:00;;;;;
;100;571013;Immobilien- u. Verwaltungs-GmbH;Dr.-Kurt-Steim-Str. 35;Schramberg;78713;;;;;;;;;;0:00:00;;;;;
;100;304112;SIMON + STURM GmbH & Co.;Lagerlechfelder Strasse 46;Untermeitingen;86836;;;;;;;;;;0:00:00;;;;;
;100;304148;Edwin Deutgen;Kumpenkampsheide 1;Hermannsburg;29320;;;;;;;;;;0:00:00;;;;;
;100;571024;Saxonia Textil Limbach-Oberfrohna;Lessingstr. 19;Limbach-Oberfrohna;9212;3722730813;;;;;;;;;0:00:00;;;;;
;100;304082;Miele & Cie. KG;0;Gütersloh;33325;5,2419E+11;;;;;;;;;0:00:00;;05241/89-1881;;;
;100;305213;TRW Automotive Systems, Ltd.;1 Cook Way;Peterlee;SR8 2HY;;julie.davies@trw.com;;;;;;;;0:00:00;;191/518-6917;;;
;100;571025;Bayerische Nadelleistenfabrik;Walpersdorfer Straße 51;Schwabach;91126;;hieronymus@paul-leistner.de;;;;;;;;0:00:00;;;;;
;100;571033;Gebr. Schmidt;Cronenfelderstr. 2a - 4;Wuppertal;42349;;kerstin.pawlenka@gsfedern.de;;;;;;;;0:00:00;;;;;
;100;571044;Thüringer Präzisionsfedern GmbH;Marienstraße 34-42;Ruhla;99842;3692980984;Bartko@thueringer-federn.de;;;;;;;;0:00:00;;;;;
;100;571055;Schweizer GmbH & Co. KG;Keltenstraße 16;Reutlingen-Mittelstadt;72766;;;;;;;;;;0:00:00;;07127 95 792-140;;;
;100;304238;Autoliv Romania S.R.L.;Bucegi Street 8;Brasov;500053;;calin.barbu@autoliv.com;;;;;;;;0:00:00;;40722549535;;;
;100;304254;KOVOSVIT MAS, a. s.;nam. Tomase Bati 419;Sezimovo Usti;391 02;;;;;;;;;;0:00:00;;;;;
;100;8434;Am-Safe Aviation (UK) Ltd;Units V1 & V2, Vector Park;Feltham, Middlesex;TW13 7EJ;2085722096;hgillard@am-safe.co.uk;;;;;;;;0:00:00;;208572-0321;;;
;100;8440;Autoliv Cankor Otomotiv Emniy.;BölgesiIhsan Dede Cad. 800. Sok 801;Gebze-Kocaeli;41400;;Nur.Begum.Celikkan@Autoliv.com;;;;;;;;0:00:00;;;;;
;100;8448;TRW Carr s. r. o.;Repov;Mladá Boleslav;293 01;;petra.mala@trw.com;;;;;;;;0:00:00;;;;;
;100;6829;Autoliv Argentina S.A.;Parque Industrial Pilar;Pilar (Buenos Aires);1629;2322537401;Sebastian.Marquart@Autoliv.com;;;;;;;;0:00:00;;2322/5374-00;;;
;100;8473;Senur Elek.Motorl.Sa.Ve Tic.As;Seyit Piyade Er Yavuz Bahar Sok. 7;Avcilar- Istanbul;34840;2124220929;osman@senur.com.tr;;;;;;;;0:00:00;;212422133-0;;;
;100;8943;T.F.M. Technik Fertigung;Unterdorf 73;Thalgau;5303;;;;;;;;;;0:00:00;;;;;
;100;8198;SIPO;0;Ohrid / S.Belcista;6000;;dslavkoski.sipo@gmail.com;;;;;;;;0:00:00;;;;;
;100;5722;Saxonia Textile Parts GmbH;Holzheimer Straße 4;Göppingen;73037;;jochen.bohnacker@kern-liebers.de;;;;;;;;0:00:00;;;;;
;100;5723;Saxonia Umformtechnik GmbH;Holzheimer Straße 4;Göppingen;73037;;jochen.bohnacker@kern-liebers.de;;;;;;;;0:00:00;;;;;
;100;1706;FSG Fernsteuergeraete;Mühlenweg 2-3;Kablow;15758;3375269277;;;;;;;;;0:00:00;;03375/269-0;;;
;100;1733;Wolf-Garten GmbH & Co.KG;Industriestrasse 83-85;Betzdorf/Sieg;57518;;;;;;;;;;0:00:00;;;;;
;100;2183;Autoliv GmbH (EXP);Otto-Hahn-Strasse 4;Elmshorn;25337;;;;;;;;;;0:00:00;;;;;
;100;2187;Atlanta Elektrosysteme GmbH;Am Schertzer 18;Steinbach-Hallenberg;98587;;;;;;;;;;0:00:00;;;;;
;100;2205;Hench-Thermoplast;Hauptstr. 1 c;Schwarzhausen;99891;;;;;;;;;;0:00:00;;036259-571-110;;;
;100;5897;EAK;ZAC des Combottes;Valentigney;25700;381362000;regine.caruso@faurecia.com;;;;;;;;0:00:00;;03813620-20;;;
;100;6141;UNGUELTIG;Corringham Road Ind. Est.;Gainsborough;DN21 1QB;;dawn.waters@kern-liebers.co.uk;;;;;;;;0:00:00;X;;;;
;100;6256;Autoliv France SNC;Z.I. Avenue de l'Europe;Gournay-en-Bray;76220;;Pascal.Limare@Autoliv.com;;;;;;;;0:00:00;;;;;
;100;525;TRW Automotive GmbH;Industriestrasse 20;Alfdorf;73553;;Alfdorf-AP-ESSC@trw.com;;;;;;;;0:00:00;;;;;
;100;2275;ASM Automation Sensorik;Am Bleichbach 18-22;Moosinning B. Erding;85452;8123986500;;;;;;;;;0:00:00;;08123986-153;;;
;100;2396;Van Riesen GmbH & Co. KG;Industriestr. 10;Enger;32130;;t.mertens@van-riesen.de;;;;;;;;0:00:00;;;;;
;100;2423;Holzschuh GmbH & Co.KG;Im Köbler 1;Knittlingen;75438;7043106176;edeltraud.deimel@holzschuh.de;;;;;;;;0:00:00;;7043106-156;;;
;100;1091;Daimler AG;Mercedesstr. 1;Hamburg (Harburg);21079;4079202966;kathrin.wolkenhauer@daimlerchrysler.com;;;;;;;;0:00:00;;0407920-2464;;;
;100;1133;ungültig J.N.Eberle Federnfabrik Gm;Hochfeldstr 6 - 8;Schwabmünchen;86830;;;;;;;;;;0:00:00;X;;;;
;100;2489;Continental Automotive GmbH;In der Lache 8;Bebra;36179;6,19688E+11;valentina.fehler@siemens.com;;;;;;;;0:00:00;;06196-87-2527;;;
;100;306235;CRH Romania SRL;Strada Hammerstein 1;Jimbolia / Timisoara;305400;;AP-Helpdesk.AG-EUR-RO@jci.com;;;;;;;;0:00:00;;;;;
;100;306227;Janisset SAS;ZI de la Chaud;Monistrol sur Loire;43120;;;;;;;;;;0:00:00;;;;;
;100;306615;Sberne suroviny a.s.;Prazska 493;Ceske Budejovice;370 21;;;;;;;;;;0:00:00;;;;;
;100;51026;GARDENA;Hans-Lorenser-Straße 40;Ulm;89079;7314901729;angela.mast@gardena.com;;;;;;;;0:00:00;;0731490-729;;;
;100;307044;Otmar Ales - ALOS kovo;Cehnice 63;Cehnice;387 52;4,2039E+11;zdenka.sevcikova@kern-liebers.cz;;;;;;;;0:00:00;;4,2039E+11;;;
;100;306815;Kuehne & Nagel, spol. s r.o.;Pekarska 7;Praha 5;155 00;;;;;;;;;;0:00:00;;;;;
;100;306570;EuroEx D GmbH;Karl-Schurz-Str. 11-15;Paderborn;33100;;;;;;;;;;0:00:00;;;;;
;100;306223;Denk tech GmbH;Buchhorn 33a;Frasnacht;9320;714402411;;;;;;;;;0:00:00;;;;;
;100;305872;SEBO Stein & Co. GmbH;Wülfrather Straße 47-49;Velbert;42553;;;;;;;;;;0:00:00;;;;;
;100;307064;Datwyler Rubber & Plastics, Inc.;1790 Technology Place;Marion, SC 29571;0;;;;;;;;;;0:00:00;;;;;
;100;306818;CEVA Logistics spol. s r.o.;Horelicka 335;Lodenice;267 12;;;;;;;;;;0:00:00;;;;;
;100;304337;BOS Automotive Products Asia, Ltd.;0;Kangnam-Gu, Seoul;135921;;;;;;;;;;0:00:00;;;;;
;100;50757;FSG Fernsteuergeräte;Mühlenweg 2-3;Königs Wusterhausen OT Kablow;15712;;;;;;;;;;0:00:00;;;;;
;100;307080;Robert Bosch Power Tool Kft.;Robert Bosch Park 1;Miskolc;3526;;aniko.olah@hu.bosch.com;;;;;;;;0:00:00;;;;;
;100;305263;Matrium GmbH;Wörthstr. 85;Ulm;89077;7313926104;;;;;;;;;0:00:00;;;;;
;100;300489;Continental Automotive GmbH;0;Eschborn;65735;;;;;;;;;;0:00:00;;;;;
;100;306733;N. A. Biorn Lian LTD. AS;Industriveien 17;Skedsmokorset;2021;;;;;;;;;;0:00:00;;;;;
;100;306496;Benthin GmbH;Osterstader Str. 16;Bremerhaven;27572;;;;;;;;;;0:00:00;;;;;
;100;307882;G. Mertgens + Co. GmbH;Darmcher Grund 19;Meinerzhagen;58540;;;;;;;;;;0:00:00;;;;;
;100;8699;TRW Polska Sp.zo.o.;Ul. Rolnicza 33;Czestochowa;42200;343693157;malgorzata.pikor@trw.com;;;;;;;;0:00:00;;343/693-652;;;
;100;307929;LAKUM-GALMA a.s.;Ostravska 384;Frydlant n. Ostravici;739 11;;;;;;;;;;0:00:00;;;;;
;100;304338;Skoda Auto a.s.;Václava Klementa 869;Mladá Boleslav;293 60;;;;;;;;;;0:00:00;;;;;
;100;305324;Via Guide GmbH;Rönkhauser Str. 9;Arnsberg-Müschede;59757;;;;;;;;;;0:00:00;;;;;
;100;306032;ERNA-MAS MAKINA TIC.VE SAN.A.S.;Prof. Mehmet Bozkurt Cad. No. 1;Arnavutkoy-Istanbul;34555;;;;;;;;;;0:00:00;;;;;
;100;2425;Fischer Automotive Systems;Industriestr. 103;Horb;72160;7443128761;Verena.Berg@fischer.de;;;;;;;;0:00:00;;07443-12-4626;;;
;100;305649;Athos Elektrosysteme GmbH;Im Köbler 2;Knittlingen;75438;7043106176;renate.rauch@athos-de.de;;;;;;;;0:00:00;;7043106-131;;;
;100;306806;Kovosrot Praha a.s.;Ke Kablu 289;Praha 10;100 37;;;;;;;;;;0:00:00;;;;;
;100;306836;Ningbo Shuaitelong Auto Parts Co.;Dongqiao Town, Yinzhou District;Ningbo;315157;;;;;;;;;;0:00:00;;;;;
;100;8449;Hirtenberger Automotive;Leobersdorfer Strasse 31-33;Hirtenberg;2552;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;1769;Robert Bosch GmbH;Postfach 10 56;Homburg;66401;;;;;;;;;;0:00:00;;;;;
;100;306837;ATHOS Elektrosistemi d.o.o.;Krska Cesta 8;Kostanjevica na Krki;8311;;samira.bacelic@resistec.si;;;;;;;;0:00:00;;;;;
;100;306857;CEVA Freight Czech Republic s.r.o.;K Letisti 1049/57;Praha 6;161 00;;;;;;;;;;0:00:00;;;;;
;100;306219;BOS Automotive Products, Inc.;3949 West Hamlin Road;Rochester Hills MI;48309;;;;;;;;;;0:00:00;;;;;
;100;308270;Ing. Karel Cisar;Sobìnov 2;Kaplice;382 41;;;;;;;;;;0:00:00;;;;;
;100;308286;MTD Products AG;Industriestraße 23;Saarbrücken-Bübingen;66129;;;;;;;;;;0:00:00;;;;;
;100;308285;MTD Products AG;Industriestraße 83-85;Betzdorf;57518;;;;;;;;;;0:00:00;;;;;
;100;8662;Commerce Trgovina d.o.o.;Mencingerjeva 7;Ljubljana;1000;;;;;;;;;;0:00:00;;;;;
;100;301086;Micro-Epsilon;Na Libusi 891;Bechyné;391 65;;info@micro-epsilon.cz;;;;;;;;0:00:00;;;;;
;100;8934;BOS Automotive Products;Szabadsag Utca 33;Mosonszolnok;9245;96575202;ECzencz@bos.de;;;;;;;;0:00:00;;96575-221;;;
;100;307866;Amtek PE;Za Pazdernou 1531;Písek;397 01;;;;;;;;;;0:00:00;;;;;
;100;308423;BWI Poland Technologies sp. z o.o.;ul. Podgorki Tynieckie 2;Krakow;30-399;;Roman.Gornicki@bwigroup.com;;;;;;;;0:00:00;;;;;
;100;308424;BWI Poland Technologies sp. z o.o.;ul. gen. L. Okulickiego 7;Krosno;38-400;134371106;grzegorz.hawaj@bwigroup.com;;;;;;;;0:00:00;;;;;
;100;1294;Glen Dimplex EIO GmbH;Otto-Bergner-Str. 28;Sonneberg;96515;3675879305;ingrid.rempel@glendimplex.de;;;;;;;;0:00:00;;3675879-311;;;
;100;1343;Robert Bosch GmbH;Leobener Strasse Tor 7;Stuttgart;70469;71181123828;Ljilijana.Jelenak@de.bosch.com;;;;;;;;0:00:00;;0711-811-31696;;;
;100;1353;Autoliv B.V. & Co. KG;Theodor-Heuss-Strasse 2;Dachau;85221;;;;;;;;;;0:00:00;;;;;
;100;1201;Gardena;Hans-Lorenser Str. 40;Ulm;89079;7314901729;angela.mast@gardena.com;;;;;;;;0:00:00;;0731490-729;;;
;100;1214;IMS Gear GmbH Automotive;Heinrich - Hertz - Str. 16;Donaueschingen;78166;7718507238;Knut.Heidelbach@imsgear.com;;;;;;;;0:00:00;;;;;
;100;1232;Autoliv B.V. & Co. KG (ANG);Otto-Hahn-Strasse 4;Elmshorn;25337;4121797252;miryam.ratzke@autoliv.com;;;;;;;;0:00:00;;04121797-5106;;;
;100;1994;Nedo GmbH & Co. KG;Hochgerichtstrasse 39 - 43;Dornstetten;72280;;;;;;;;;;0:00:00;;;;;
;100;1361;Athos Elektrosysteme GmbH;Westerfelder Weg 25;Lüdenscheid;58515;2351948825;rainer.schmale@atlanta-elektro.de;;;;;;;;0:00:00;;23519488-14;;;
;100;1375;CRH;Merscheider Straße 167;Solingen;42699;2123393444;;;;;;;;;0:00:00;;;;;
;100;2060;Autoliv Sicherheitstechnik GmbH;Eichbergstrasse 10-13;Döbeln;4720;;;;;;;;;;0:00:00;;;;;
;100;2061;AUTOLIV IPARI ES KERESKEDELMI KFT.;Ujmajor 0216/3;Sopronkövesd, GYÖR-MOSON-SOPRON;9483;;;;;;;;;;0:00:00;;;;;
;100;5367;Sofragraf S.A.S;29 Rue de la Gare;Vagney Cedex;88125;;;;;;;;;;0:00:00;;;;;
;100;5700;KERN-LIEBERS CR spol. s r. o.;Okruzní 607;Ceske Budejovice;370 01;389608027;tomas.partl@kern-liebers.cz;;;;;;;;0:00:00;;389608-079;;;
;100;308419;Schnieder Kunststoffteile;Zeppelinstraße 3;Herford;32051;;kenter@schnieder-hf.com;;;;;;;;0:00:00;;;;;
;100;573081;Kern-Liebers India Pvt. Ltd.;143-151, Antharasanahalli Industria;Tumkur, KARNATAKA;572106;;santhamoorthy@kern-liebers.com;;;;;;;;0:00:00;;;;;
;100;573083;Stumpp Schuele & Somappa Springs Pv;139/2 Hosur Road, Koramangala;Bangalore-560095;560095;;felix.reichardt@kern-liebers.de;;;;;;;;0:00:00;;;;;
;100;573089;Kern-Liebers Somappa Precision;143-151, Antharasanahalli;Tumkur / Karanataka;572106;;felix.reichardt@kern-liebers.de;;;;;;;;0:00:00;;;;;
;100;310110;TRW Automotive Safety Systems GmbH;Ziegelfeldstr. 38;Mögglingen;73563;;;;;;;;;;0:00:00;;;;;
;100;307742;Würth Industrie Service GmbH & Co.;Drillberg-Geb.NO6 2390;Bad Mergentheim;97980;;;;;;;;;;0:00:00;;;;;
;100;8242;Robert Bosch spol. s.r.o;Roberta Bosche 2678;Ceske Budejovice;370 04;;Petra.Hadacova@cz.bosch.com;;;;;;;;0:00:00;;380404-160;;;
;100;308995;MINESA s.r.o.;Predcicka 613;Tyn nad Vltavou;375 01;;;;;;;;;;0:00:00;;;;;
;100;307818;MSSL ADVANCED POLYMERS S.R.O.;DASICKÁ 287;DOLNI REDICE;533 75;;;;;;;;;;0:00:00;;;;;
;100;308523;PRYM CONSUMER CZ, s.r.o.;Tyrsova 734;Zliv;373 44;;;;;;;;;;0:00:00;;;;;
;100;311101;ZARON - Holecek M.Ing.;Mlynska 2;Ceske Budejovice;370 01;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;311109;CEM SpA;VIA CA’ ROSSA 1;QUISTELLO (MANTOVA);46026;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;309009;Magneti Marelli COFAP USA;181 BENNETT DRIVE;PULASKI;38478;;;;;;;;;;0:00:00;;;;;
;100;308166;Sur-Tech;Hauptstr. 1 c;Schwarzhausen;99891;;;;;;;;;;0:00:00;;;;;
;100;1737;Dru Meta-Metall GmbH &  Co.KG;Siemensstrasse 7;Velbert;42551;;;;;;;;;;0:00:00;;;;;
;100;2388;Robert Bosch GmbH;Dieselstrasse 10;Nürnberg;90441;;karin.zikeli@de.bosch.com;;;;;;;;0:00:00;;;;;
;100;311670;TSR Czech Republic s.r.o.;Jatecni trida 49;Plzen;312 00;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;302583;Egon Grosshaus GmbH & Co. KG;BONZELERHAMMER;LENNESTADT;57368;;;;;;;;;;0:00:00;;;;;
