SAP è.;Název;Ulice;Mìsto;PSÈ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403615;Podzimek Ladislav;Miletinska 858;Lisov;373 72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403622;Hexnerova Ivana RNDr.;Platonova 11;Praha 4 - Modrany;143 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403630;G. Benedikt Karlovy Vary s.r.o.;1. maje 30;Karlovy Vary;360 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403226;KOH-I-NOOR- HARDTMUTH;F. A. Gerstnera 21/3;Ceske Budejovice;371 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403227;HSH Haerterei-Service Hoenselaer Gm;Im Schlop 11;Kranenburg;47559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403232;PAN-ELECTRONICS s.r.o.;Palackeho trida 186;Brno;616 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403233;PETR Josef;Taborska 103;Sezimovo Usti;391 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403234;STARKA pujcovnictvi a obchod v.o.s.;Puchmajerova 1;Cescke Budejovice;370 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403240;Hezina Frantisek Ing.;Litvinovice 121;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403246;GONDRAND, a.s.;Komunardu 1/306;Praha 7 - Holesovice;170 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403249;PRESSMONT s.r.o.;Pod Trojicí 845;Rosice;665 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403635;RKR spol. s.r.o.;Nad Boticem 18;Praha 10;102 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403636;Weishaupt spol. s.r.o.;Strasnicka 1C/3177;Praha 10;102 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403256;Faktor media spol. s.r.o.;U Tri  lvu 5;Ceske Budejovice 1;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403270;PH-KOVO, spol. s.r.o.;Vrato 86;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403271;STRUERS GmbH;Havlickova 361;Roztoky u Prahy;252 63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403668;Achilles CZ s.r.o.;Vrbenska 97/16;Ceske Budejovice;370 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403670;Kyncl Josef;kpt. Jarose 326;Trutnov;541 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403672;Herman Milan Zamecnictvi;Zabovresky 17;Hluboka nad Vltavou;373 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403673;Tegamo Praha s.r.o.;Prazska 629/29;Praha 5;152 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403674;Ruzicka Antonin;Nadrazni 228;Prachatice;383 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403675;TRUST - ts spol. s.r.o.;Husova 11 55;Trhove Sviny;374 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403676;HEIDENHAIN s.r.o.;Dolnomecholupska 12b;Praha 10;102 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403677;TEDIKO, s.r.o.;Prazska 5487;Chomutov;430 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403282;UNIPROJEKTA, s.r.o.;Pivovarska 14;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403284;BS - Build servis spol. s.r.o.;Nemanicka 7/440;Ceske Budejovice;370 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403295;Nova Petra;Bezdrevska 15;Ceske Budejovice;370 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403298;Geospol, s.r.o.;Publicka 104;Dobruska;518 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403299;ESKON s.r.o.;Vrchni 37;Opava;747 05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403302;Rappold Brno, s.r.o.;Marikova 1;Brno;621 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403303;KOVOHUTE ROKYCANY, a.s.;Zeyerova 285;Rokycany;337 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403684;C. plus C., spol. s.r.o.;Rudolfovska 71;Ceske Budejovice;370 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403692;Continental Automotive Czech Rep.;Hradecka 1092;Jicin;506 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403697;Rehacek Pavel;Hornicka 51;Dobra Voda u Ceskych Budejovic;373 16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403707;TRANSFORWARDING a.s.;K. Uhlire 42;Ceske Budejovice;370 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403316;J.D. von Hagen GmbH;Stefanstrasse 20;Iserlohn;58638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403322;Zurfluh-Feller;Grande Rue;Roide;25700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403332;Iberofon Plásticos S.A.;Pol. Ind. Miralcampo, c/ Aluminio 4;Azuqueca de Henares, Guadalajara;19200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403340;AUREDNIK LOZISKA s. r. o.;J.S.Baara 1694/75 77;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403722;MONTZA v.o.s.;A. Staska 2106;Ceske Budejovice;370 07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403723;Haisman Michael;Fr. Ondricka 52;Ceske Budejovice;370 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403724;Nova Era s.r.o.;Husova 2117;Benesov;256 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403736;Wanger+Ulrich AG;.;Winterthur;8401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403741;HANET s.r.o.;Prazska 1680;Ceske Budejovice;370 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
404039;Mädler GmbH;Tränkestrasse 6-8;Stuttgart;70597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403347;PRECIZ, s.r.o.;Kvikovicka 1627;Napajedla;763 61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403348;TSI System  s.r.o.;Marianske namesti 1;Brno;617 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403349;Ernst & Young Audit, s.r.o.;Karlovo namesti 10;Praha 2;120 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403350;MEGADYNE CZ s.r.o.;Ocelarska cp. 891;Praha 9;190 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403351;KAFKA TRANSPORT a.s.;Oparany 312;Oparany;391 61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403352;MBM Tans s.r.o.;Vlkova 20;Praha 3;130 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403353;Sigg Strahltechnik GmbH;Randenweg 21;Jestetten;79798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403355;ELMER software s.r.o.;Valticka 123;Praha 5 - Sobin;155 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403742;L.M.T. - FETTE spol. s.r.o.;Drazni 7;Brno - Slatina;627 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403743;DEPRAG CZ a.s.;T.G. Masaryka 113;Lazne Belohrad;507 81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403747;PHOENIX CONTACT, s.r.o.;Technicka 15;Brno;616 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403748;Truhlarik Vilem;Hnezdenska 558;Praha 8;181 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403749;Polivka Vladimir - DPP;Naklo 307;Naklo;783 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403761;Plzensky TEN EXPRES s.r.o.;Manetim 269;Manetim;331 62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403762;JPS - spedice s.r.o.;Kostelni 134;Trhove Sviny;374 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403763;Svacina Josef;Vrato 28;Creske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403764;ROSSO STEEL, a.s.;Mirosov 611;Mirosov;338 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403765;Shell Czech Republik a.s.;Pod Pekarnami 2/878;Praha 9;190 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403772;STASTO Automation s.r.o.;K Nakli 512;Tynec nad Sazavou;257 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403773;Kaplan Martin;Albrechticka 630/592;Most;434 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403386;Jakubec Jiri;Adamovska 15;Rudolfov;373 71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403387;Jirovsky Ladislav;Trebizskeho 797/6;Tabor 2;390 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403404;Radovana Bartova;Lidicka - Sumava 9;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403405;Kasparu-Koller, Stavitelstvi s.r.o.;Vrbenska 6;Ceske Budejovice;370 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403779;Energoservis spol. s.r.o.;Mjr. Sulce 5;Chomutov;430 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403781;Ernst & Young, k. s.;Karlovo namesti 10;Praha 2;120 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403782;Asociace pro tepelne zpracovani kov;K Vodarne 531;Cercany;257 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403783;Cerveny Pavel;Fuchsova 109;Praha 5 - Zbraslav;156 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403784;MEWA Textil-Service s.r.o.;Druzicova 992/23;Praha 6;161 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403788;Ceskobudejovicke stavoinstalace s.r;B. Kavky 28;Ceske Budejovice;370 07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403791;Bosch Rexroth, spol. s.r.o.;Tezebni 2;Brno;627 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403792;Rittal Czech, s.r.o.;Ke Zdibsku 182;Zdiby u Prahy;250 66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403805;E.ON Energie, a.s.;Lannova 205/16;Ceske Budejovice;370 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403807;Hoffmann Nuernberg GmbH;Sigmundstr. 181;Nuernberg;90431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405232;KOBERCE BRENO s.r.o.;Karla Weise 11;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405233;CONTEX s.r.o.;V Mlejnku 608;Hradec Kralove;500 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405234;KTR CR, spol. s.r.o.;Olomoucka 226;Jevicko;569 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405235;Saxonia Autom GESPERRT;Minicka 635;Kralupy nad Vltavou;278 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405236;ERTL GLAS s.r.o.;Zdebradska 60;Ricany-Jazlovice;251 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405237;Pavel Zemlicka;Rudolfovska 94;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405238;DOSTING, spol.s.r.o.;Kosinova 19;Brno;612 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405239;ACTUAL s.r.o.;Linecka 856;Kaplice;382 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405240;Karel Cisar - CAST;Sobenov 2;Kaplice;382 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405242;MANPOWER s.r.o.;Karlovo Namesti 10/2097;Praha 2;120 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405243;Bonus obch. agen. spol. s.r.o.;Pekarenska 79;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405244;Jiri Motloch - SAGIT;Horni 457/1;Ostrava - Hrabuvka;370 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405245;NEPOUZIVAT - Lenze Antriebstechnik;Ipf-Landesstr. 1;Asten;4481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
404607;GRAU GmbH;Muxelstraße 7;München;81479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5301;NEPOUZIVAT - CERATIZIT Austria GmbH;.;Reutte;6600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5356;NIEDERBERGER PRECISION - gesperrt;Langsägestrasse 2;Kriens;6010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5367;MIPE-TRANS, spol. s r. o.;Dvorakova 21;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5382;TRW Occupant Restraint Systems;Mattseer Landesstrasse 8;Bergheim;5101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5389;Tecnoset GESPERRT;Via Luigi Raspini, 22;Settimo Torinese (To);10036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5431;Perlos Corporation;Nurmeksentie 80;Joensuu;80100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5413;Inteplast;Apartado De Correos 256 - Olot;Vall de Bianya;17813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5486;STG;Spegelgatan 1;Vimmerby;59821;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5489;Manentimacchine SRL;Viale Italia 115/a;Gussago / BS;25064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412101;M & B Calibr, spol. s.r.o.;Ke Karlovu 62/10;Ivancice, Nemcice;664 91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;BARTH GbR;Graf-Kirchberg-Straße 66;Illertissen-Tiefenbach;89257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412103;DMT Drehmaschinen GmbH & Co. KG;Gewerbestrasse 18;Loerrach;79539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412020;Pfingstner s.r.o.;Zakourilova 79;Praha 11 - Chodov;140 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409366;Zippel + Dinzl Service GmbH;Industriestr. 1;Schillingsfürst;91583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411964;POWERIN Kft.;Lebstück M. u. 53 fsz. 4;Budapest;1042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408215;Kiekert - CS, s.r.o.;Gorkého 1830;Pardubice;530 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412052;VAE ProSys s.r.o.;Varsavska 9 A/253;Ostrava - Marianske Hory;709 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1105;Flexico Verpackungen GmbH;Oberer Riedweg 1;Altdorf bei Nürnberg;90518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405952;KIEKERT AG;Höseler Platz 2;HEILIGENHAUS;42579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412102;ECTACO Ceska s.r.o.;V polich 8;Praha 4 - Krc;140 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412112;AQUA Cleer s.r.o.;Luzicka 5;Praha 2;120 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411902;AVAS spol. s.r.o.;Doudlevecka 36;Plzen;301 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411903;HAPPY END CZ, a.s.;Argenstinska 3;Praha 7;170 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
639;EMAG  Salach Maschinenfabrik GmbH;Austr. 24;Salach;73084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412114;Strieder Stahl-Logistik GmbH & Co.;Buderusstr. 25;Wetzlar;35576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412125;Ing. Ales Tondl;Na Nabrezi 14;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411911;FERATT v.o.s.;Libnic 87;Rudolfov;373 71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411985;GM Electronic spol. s.r.o.;Kratochvilova 1748/4;Praha 6;162 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402171;BAND-UND FEINSTAHL SERVICE;Bachstrasse 6;Schwerte;58239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403461;Stemmer Imaging GmbH;Gutenbergstraße 9 - 13;Puchheim;82178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411418;Vladimir Panek;.;Nizbor 303;267 05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411420;PURE SOLVE Ceska republika spol. s.;Nadrazni 203;Mesice u Prahy;250 64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3773;Ulrich Möck;Melchinger Strasse 22;Sonnenbühl - Willmandingen;72820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411419;Dum techniky Ostrava, spol. s.r.o.;Marianske nam. 480/5;Ostrava - Marianske Hory;709 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412021;Petr Vazac;Rejta 1127;Trhove Sviny;374 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412047;LMC s.r.o.;Vysocanska 234;Praha 9;190 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412140;Int. Suva Petr;Vratislavska 389/1;Praha 8;181 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402546;SBS-Feintechnik GmbH & Co. KG;Hermann-Burger-Straße 31;Schonach;78136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
801061;Franz Josef King KG gesperrt;Berneckstr. 153;Schramberg;78713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
802061;King International s.r.o.;Pizenska 1417;Stribo;349 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
802062;King Italiana GmbH;Holzlände 87;St. Martin in Passeier;39010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
801034;Saxonia Textil Limbach-O.,;Lessingstraße 19;Limbach-Oberfrohna;9212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411303;CEVA Logistics;Koralenhoeve 15;Wommelgem;2160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411304;Gateway Cargo Systems GmbH;Weg beim Jäger 208;Hamburg;22335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411305;Gateway  Cargo Systems GmbH;Cargo City Süd Building 639C;Frankfurt a. M.;60549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403219;Plogsties GmbH;Röntgenstraße 18;Reinbek;21465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411734;Obrabecstvi Jaroslav Sedlacek;Malonty 215;Malonty;382 91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411735;Kostecka Group spol. s.r.o.;Borskeho 1011/1;Praha 5;152 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411736;Eichler Company s.r.o.;Na Prutech 1063/22;Zdar nad Sazavou 5;591 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411567;Sonepar èeské republika spol. s r.o;Vážní 1125;Hradec Králové;500 03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411318;Autoliv B.V. Co. KG Werk Sud;Dachauer Str. 39;Feldgeding-Berkirchen;85232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411319;CRH Umformtechnik GmbH & Co. KG;Mühlenstr 21;Solingen;42699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411322;IMS - Gear GmbH;Obere Wiesen 11;Donaueschingen;78166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411323;Burener Maschinenfabrik GmbH;Fürstenberger Str. 37;Buren;33142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
